Clinic,Date,Ailment,Attendance,MedicationUsed,MedicationStock,StockAdequacy
Kangemi Health Centre,2024-03-26,Typhoid,285,81,547,Adequate
Kangemi Health Centre,2024-03-26,Respiratory Infection,305,101,170,Adequate
Kangemi Health Centre,2024-03-26,Diarrhea,107,37,229,Adequate
Kangemi Health Centre,2024-03-26,Skin Infection,72,17,112,Adequate
Kangemi Health Centre,2024-03-26,Pneumonia,242,140,634,Adequate
Kangemi Health Centre,2024-03-27,Malaria,331,24,741,Adequate
Kangemi Health Centre,2024-03-27,Flu,90,144,559,Adequate
Kangemi Health Centre,2024-03-27,Typhoid,349,61,424,Adequate
Kangemi Health Centre,2024-03-27,Respiratory Infection,96,76,613,Adequate
Kangemi Health Centre,2024-03-27,Diarrhea,201,110,601,Adequate
Kangemi Health Centre,2024-03-27,Skin Infection,363,37,574,Adequate
Kangemi Health Centre,2024-03-27,Pneumonia,83,103,678,Adequate
Kangemi Health Centre,2024-03-28,Malaria,131,72,508,Adequate
Kangemi Health Centre,2024-03-28,Flu,333,68,658,Adequate
Kangemi Health Centre,2024-03-28,Typhoid,251,30,257,Adequate
Kangemi Health Centre,2024-03-28,Respiratory Infection,377,60,334,Adequate
Kangemi Health Centre,2024-03-28,Diarrhea,179,30,356,Adequate
Kangemi Health Centre,2024-03-28,Skin Infection,194,86,696,Adequate
Kangemi Health Centre,2024-03-28,Pneumonia,75,38,146,Adequate
Kangemi Health Centre,2024-03-29,Malaria,242,104,586,Adequate
Kangemi Health Centre,2024-03-29,Flu,88,83,441,Adequate
Kangemi Health Centre,2024-03-29,Typhoid,41,73,602,Adequate
Kangemi Health Centre,2024-03-29,Respiratory Infection,35,82,243,Adequate
Kangemi Health Centre,2024-03-29,Diarrhea,375,14,684,Adequate
Kangemi Health Centre,2024-03-29,Skin Infection,203,113,369,Adequate
Kangemi Health Centre,2024-03-29,Pneumonia,391,123,151,Adequate
Kangemi Health Centre,2024-03-30,Malaria,145,35,664,Adequate
Kangemi Health Centre,2024-03-30,Flu,394,58,118,Adequate
Kangemi Health Centre,2024-03-30,Typhoid,332,17,728,Adequate
Kangemi Health Centre,2024-03-30,Respiratory Infection,135,64,408,Adequate
Kangemi Health Centre,2024-03-30,Diarrhea,256,105,285,Adequate
Kangemi Health Centre,2024-03-30,Skin Infection,290,25,372,Adequate
Kangemi Health Centre,2024-03-30,Pneumonia,189,131,323,Adequate
Kangemi Health Centre,2024-03-31,Malaria,285,61,119,Adequate
Kangemi Health Centre,2024-03-31,Flu,141,149,567,Adequate
Kangemi Health Centre,2024-03-31,Typhoid,140,91,612,Adequate
Kangemi Health Centre,2024-03-31,Respiratory Infection,87,122,320,Adequate
Kangemi Health Centre,2024-03-31,Diarrhea,240,53,331,Adequate
Kangemi Health Centre,2024-03-31,Skin Infection,291,117,714,Adequate
Kangemi Health Centre,2024-03-31,Pneumonia,79,147,721,Adequate
Kangemi Health Centre,2024-04-01,Malaria,117,29,113,Adequate
Kangemi Health Centre,2024-04-01,Flu,162,70,133,Adequate
Kangemi Health Centre,2024-04-01,Typhoid,237,54,298,Adequate
Kangemi Health Centre,2024-04-01,Respiratory Infection,109,100,254,Adequate
Kangemi Health Centre,2024-04-01,Diarrhea,107,87,271,Adequate
Kangemi Health Centre,2024-04-01,Skin Infection,318,42,519,Adequate
Kangemi Health Centre,2024-04-01,Pneumonia,36,61,339,Adequate
Kangemi Health Centre,2024-04-02,Malaria,53,95,169,Adequate
Kangemi Health Centre,2024-04-02,Flu,397,117,203,Adequate
Kangemi Health Centre,2024-04-02,Typhoid,244,63,429,Adequate
Kangemi Health Centre,2024-04-02,Respiratory Infection,365,104,387,Adequate
Kangemi Health Centre,2024-04-02,Diarrhea,74,70,297,Adequate
Kangemi Health Centre,2024-04-02,Skin Infection,245,106,408,Adequate
Kangemi Health Centre,2024-04-02,Pneumonia,361,85,126,Adequate
Kangemi Health Centre,2024-04-03,Malaria,195,71,373,Adequate
Kangemi Health Centre,2024-04-03,Flu,394,132,602,Adequate
Kangemi Health Centre,2024-04-03,Typhoid,362,113,344,Adequate
Kangemi Health Centre,2024-04-03,Respiratory Infection,334,70,727,Adequate
Kangemi Health Centre,2024-04-03,Diarrhea,170,43,455,Adequate
Kangemi Health Centre,2024-04-03,Skin Infection,154,34,711,Adequate
Kangemi Health Centre,2024-04-03,Pneumonia,34,48,781,Adequate
Kangemi Health Centre,2024-04-04,Malaria,303,41,760,Adequate
Kangemi Health Centre,2024-04-04,Flu,295,66,788,Adequate
Kangemi Health Centre,2024-04-04,Typhoid,371,22,282,Adequate
Kangemi Health Centre,2024-04-04,Respiratory Infection,174,38,187,Adequate
Kangemi Health Centre,2024-04-04,Diarrhea,75,17,218,Adequate
Kangemi Health Centre,2024-04-04,Skin Infection,48,72,705,Adequate
Kangemi Health Centre,2024-04-04,Pneumonia,280,55,145,Adequate
Kangemi Health Centre,2024-04-05,Malaria,75,84,625,Adequate
Kangemi Health Centre,2024-04-05,Flu,114,92,102,Adequate
Kangemi Health Centre,2024-04-05,Typhoid,57,38,610,Adequate
Kangemi Health Centre,2024-04-05,Respiratory Infection,362,105,786,Adequate
Kangemi Health Centre,2024-04-05,Diarrhea,143,14,586,Adequate
Kangemi Health Centre,2024-04-05,Skin Infection,360,68,414,Adequate
Kangemi Health Centre,2024-04-05,Pneumonia,268,135,402,Adequate
Kangemi Health Centre,2024-04-06,Malaria,124,104,752,Adequate
Kangemi Health Centre,2024-04-06,Flu,363,142,720,Adequate
Kangemi Health Centre,2024-04-06,Typhoid,391,98,196,Adequate
Kangemi Health Centre,2024-04-06,Respiratory Infection,364,45,655,Adequate
Kangemi Health Centre,2024-04-06,Diarrhea,259,15,719,Adequate
Kangemi Health Centre,2024-04-06,Skin Infection,246,24,359,Adequate
Kangemi Health Centre,2024-04-06,Pneumonia,341,93,295,Adequate
Kangemi Health Centre,2024-04-07,Malaria,124,65,643,Adequate
Kangemi Health Centre,2024-04-07,Flu,260,145,620,Adequate
Kangemi Health Centre,2024-04-07,Typhoid,220,114,299,Adequate
Kangemi Health Centre,2024-04-07,Respiratory Infection,363,62,698,Adequate
Kangemi Health Centre,2024-04-07,Diarrhea,50,64,687,Adequate
Kangemi Health Centre,2024-04-07,Skin Infection,170,13,695,Adequate
Kangemi Health Centre,2024-04-07,Pneumonia,77,107,641,Adequate
Kangemi Health Centre,2024-04-08,Malaria,314,17,239,Adequate
Kangemi Health Centre,2024-04-08,Flu,70,131,381,Adequate
Kangemi Health Centre,2024-04-08,Typhoid,79,11,459,Adequate
Kangemi Health Centre,2024-04-08,Respiratory Infection,299,35,739,Adequate
Kangemi Health Centre,2024-04-08,Diarrhea,133,104,672,Adequate
Kangemi Health Centre,2024-04-08,Skin Infection,297,22,246,Adequate
Kangemi Health Centre,2024-04-08,Pneumonia,269,118,194,Adequate
Kangemi Health Centre,2024-04-09,Malaria,344,46,124,Adequate
Kangemi Health Centre,2024-04-09,Flu,301,67,186,Adequate
Kangemi Health Centre,2024-04-09,Typhoid,171,15,737,Adequate
Kangemi Health Centre,2024-04-09,Respiratory Infection,345,136,240,Adequate
Kangemi Health Centre,2024-04-09,Diarrhea,385,112,325,Adequate
Kangemi Health Centre,2024-04-09,Skin Infection,92,47,405,Adequate
Kangemi Health Centre,2024-04-09,Pneumonia,283,81,139,Adequate
Kangemi Health Centre,2024-04-10,Malaria,293,70,619,Adequate
Kangemi Health Centre,2024-04-10,Flu,133,126,645,Adequate
Kangemi Health Centre,2024-04-10,Typhoid,265,88,327,Adequate
Kangemi Health Centre,2024-04-10,Respiratory Infection,217,86,582,Adequate
Kangemi Health Centre,2024-04-10,Diarrhea,51,96,139,Adequate
Kangemi Health Centre,2024-04-10,Skin Infection,202,64,278,Adequate
Kangemi Health Centre,2024-04-10,Pneumonia,115,34,450,Adequate
Kangemi Health Centre,2024-04-11,Malaria,42,37,605,Adequate
Kangemi Health Centre,2024-04-11,Flu,113,126,563,Adequate
Kangemi Health Centre,2024-04-11,Typhoid,347,102,442,Adequate
Kangemi Health Centre,2024-04-11,Respiratory Infection,309,127,362,Adequate
Kangemi Health Centre,2024-04-11,Diarrhea,195,46,608,Adequate
Kangemi Health Centre,2024-04-11,Skin Infection,97,107,269,Adequate
Kangemi Health Centre,2024-04-11,Pneumonia,115,34,547,Adequate
Kangemi Health Centre,2024-04-12,Malaria,207,115,601,Adequate
Kangemi Health Centre,2024-04-12,Flu,281,44,478,Adequate
Kangemi Health Centre,2024-04-12,Typhoid,230,116,349,Adequate
Kangemi Health Centre,2024-04-12,Respiratory Infection,118,142,236,Adequate
Kangemi Health Centre,2024-04-12,Diarrhea,276,47,249,Adequate
Kangemi Health Centre,2024-04-12,Skin Infection,392,96,679,Adequate
Kangemi Health Centre,2024-04-12,Pneumonia,250,44,420,Adequate
Kangemi Health Centre,2024-04-13,Malaria,339,39,631,Adequate
Kangemi Health Centre,2024-04-13,Flu,318,134,591,Adequate
Kangemi Health Centre,2024-04-13,Typhoid,129,95,176,Adequate
Kangemi Health Centre,2024-04-13,Respiratory Infection,164,37,511,Adequate
Kangemi Health Centre,2024-04-13,Diarrhea,202,116,300,Adequate
Kangemi Health Centre,2024-04-13,Skin Infection,246,89,685,Adequate
Kangemi Health Centre,2024-04-13,Pneumonia,40,60,111,Adequate
Kangemi Health Centre,2024-04-14,Malaria,107,60,783,Adequate
Kangemi Health Centre,2024-04-14,Flu,125,79,472,Adequate
Kangemi Health Centre,2024-04-14,Typhoid,302,44,790,Adequate
Kangemi Health Centre,2024-04-14,Respiratory Infection,93,33,418,Adequate
Kangemi Health Centre,2024-04-14,Diarrhea,361,62,720,Adequate
Kangemi Health Centre,2024-04-14,Skin Infection,302,49,496,Adequate
Kangemi Health Centre,2024-04-14,Pneumonia,209,87,579,Adequate
Kangemi Health Centre,2024-04-15,Malaria,108,85,160,Adequate
Kangemi Health Centre,2024-04-15,Flu,398,108,645,Adequate
Kangemi Health Centre,2024-04-15,Typhoid,99,26,595,Adequate
Kangemi Health Centre,2024-04-15,Respiratory Infection,49,102,414,Adequate
Kangemi Health Centre,2024-04-15,Diarrhea,98,96,260,Adequate
Kangemi Health Centre,2024-04-15,Skin Infection,131,87,244,Adequate
Kangemi Health Centre,2024-04-15,Pneumonia,86,112,484,Adequate
Kangemi Health Centre,2024-04-16,Malaria,298,119,553,Adequate
Kangemi Health Centre,2024-04-16,Flu,216,35,449,Adequate
Kangemi Health Centre,2024-04-16,Typhoid,139,108,506,Adequate
Kangemi Health Centre,2024-04-16,Respiratory Infection,167,80,502,Adequate
Kangemi Health Centre,2024-04-16,Diarrhea,80,101,186,Adequate
Kangemi Health Centre,2024-04-16,Skin Infection,97,93,141,Adequate
Kangemi Health Centre,2024-04-16,Pneumonia,248,86,295,Adequate
Kangemi Health Centre,2024-04-17,Malaria,277,47,161,Adequate
Kangemi Health Centre,2024-04-17,Flu,292,141,277,Adequate
Kangemi Health Centre,2024-04-17,Typhoid,55,35,630,Adequate
Kangemi Health Centre,2024-04-17,Respiratory Infection,294,90,631,Adequate
Kangemi Health Centre,2024-04-17,Diarrhea,135,118,563,Adequate
Kangemi Health Centre,2024-04-17,Skin Infection,275,90,761,Adequate
Kangemi Health Centre,2024-04-17,Pneumonia,39,94,363,Adequate
Kangemi Health Centre,2024-04-18,Malaria,178,31,373,Adequate
Kangemi Health Centre,2024-04-18,Flu,223,77,271,Adequate
Kangemi Health Centre,2024-04-18,Typhoid,294,76,125,Adequate
Kangemi Health Centre,2024-04-18,Respiratory Infection,379,121,455,Adequate
Kangemi Health Centre,2024-04-18,Diarrhea,55,43,363,Adequate
Kangemi Health Centre,2024-04-18,Skin Infection,167,57,794,Adequate
Kangemi Health Centre,2024-04-18,Pneumonia,392,143,665,Adequate
Kangemi Health Centre,2024-04-19,Malaria,197,24,180,Adequate
Kangemi Health Centre,2024-04-19,Flu,274,47,506,Adequate
Kangemi Health Centre,2024-04-19,Typhoid,91,55,698,Adequate
Kangemi Health Centre,2024-04-19,Respiratory Infection,128,68,152,Adequate
Kangemi Health Centre,2024-04-19,Diarrhea,221,72,575,Adequate
Kangemi Health Centre,2024-04-19,Skin Infection,109,25,459,Adequate
Kangemi Health Centre,2024-04-19,Pneumonia,355,95,601,Adequate
Kangemi Health Centre,2024-04-20,Malaria,170,117,546,Adequate
Kangemi Health Centre,2024-04-20,Flu,319,110,574,Adequate
Kangemi Health Centre,2024-04-20,Typhoid,194,52,470,Adequate
Kangemi Health Centre,2024-04-20,Respiratory Infection,349,53,389,Adequate
Kangemi Health Centre,2024-04-20,Diarrhea,297,32,354,Adequate
Kangemi Health Centre,2024-04-20,Skin Infection,382,22,457,Adequate
Kangemi Health Centre,2024-04-20,Pneumonia,125,74,469,Adequate
Kangemi Health Centre,2024-04-21,Malaria,256,74,402,Adequate
Kangemi Health Centre,2024-04-21,Flu,343,138,488,Adequate
Kangemi Health Centre,2024-04-21,Typhoid,147,14,543,Adequate
Kangemi Health Centre,2024-04-21,Respiratory Infection,381,144,632,Adequate
Kangemi Health Centre,2024-04-21,Diarrhea,181,27,376,Adequate
Kangemi Health Centre,2024-04-21,Skin Infection,339,19,763,Adequate
Kangemi Health Centre,2024-04-21,Pneumonia,389,140,568,Adequate
Kangemi Health Centre,2024-04-22,Malaria,145,69,156,Adequate
Kangemi Health Centre,2024-04-22,Flu,280,52,249,Adequate
Kangemi Health Centre,2024-04-22,Typhoid,191,79,450,Adequate
Kangemi Health Centre,2024-04-22,Respiratory Infection,128,68,762,Adequate
Kangemi Health Centre,2024-04-22,Diarrhea,355,89,613,Adequate
Kangemi Health Centre,2024-04-22,Skin Infection,181,26,464,Adequate
Kangemi Health Centre,2024-04-22,Pneumonia,94,99,680,Adequate
Kangemi Health Centre,2024-04-23,Malaria,150,118,346,Adequate
Kangemi Health Centre,2024-04-23,Flu,122,41,714,Adequate
Kangemi Health Centre,2024-04-23,Typhoid,141,74,161,Adequate
Kangemi Health Centre,2024-04-23,Respiratory Infection,329,48,747,Adequate
Kangemi Health Centre,2024-04-23,Diarrhea,84,117,402,Adequate
Kangemi Health Centre,2024-04-23,Skin Infection,287,103,577,Adequate
Kangemi Health Centre,2024-04-23,Pneumonia,398,68,259,Adequate
Kangemi Health Centre,2024-04-24,Malaria,195,86,366,Adequate
Kangemi Health Centre,2024-04-24,Flu,167,141,542,Adequate
Kangemi Health Centre,2024-04-24,Typhoid,375,64,116,Adequate
Kangemi Health Centre,2024-04-24,Respiratory Infection,97,34,799,Adequate
Kangemi Health Centre,2024-04-24,Diarrhea,337,19,273,Adequate
Kangemi Health Centre,2024-04-24,Skin Infection,126,52,253,Adequate
Kangemi Health Centre,2024-04-24,Pneumonia,212,143,403,Adequate
Kangemi Health Centre,2024-04-25,Malaria,314,36,501,Adequate
Kangemi Health Centre,2024-04-25,Flu,389,89,301,Adequate
Kangemi Health Centre,2024-04-25,Typhoid,279,115,680,Adequate
Kangemi Health Centre,2024-04-25,Respiratory Infection,399,50,251,Adequate
Kangemi Health Centre,2024-04-25,Diarrhea,131,12,706,Adequate
Kangemi Health Centre,2024-04-25,Skin Infection,390,110,224,Adequate
Kangemi Health Centre,2024-04-25,Pneumonia,287,95,335,Adequate
Kangemi Health Centre,2024-04-26,Malaria,191,51,452,Adequate
Kangemi Health Centre,2024-04-26,Flu,97,74,736,Adequate
Kangemi Health Centre,2024-04-26,Typhoid,199,56,360,Adequate
Kangemi Health Centre,2024-04-26,Respiratory Infection,246,78,223,Adequate
Kangemi Health Centre,2024-04-26,Diarrhea,322,43,300,Adequate
Kangemi Health Centre,2024-04-26,Skin Infection,304,87,139,Adequate
Kangemi Health Centre,2024-04-26,Pneumonia,302,89,192,Adequate
Kangemi Health Centre,2024-04-27,Malaria,71,90,478,Adequate
Kangemi Health Centre,2024-04-27,Flu,136,101,164,Adequate
Kangemi Health Centre,2024-04-27,Typhoid,394,62,583,Adequate
Kangemi Health Centre,2024-04-27,Respiratory Infection,164,139,123,Low
Kangemi Health Centre,2024-04-27,Diarrhea,57,71,590,Adequate
Kangemi Health Centre,2024-04-27,Skin Infection,302,110,119,Adequate
Kangemi Health Centre,2024-04-27,Pneumonia,32,66,406,Adequate
Kangemi Health Centre,2024-04-28,Malaria,165,22,614,Adequate
Kangemi Health Centre,2024-04-28,Flu,222,102,514,Adequate
Kangemi Health Centre,2024-04-28,Typhoid,390,35,308,Adequate
Kangemi Health Centre,2024-04-28,Respiratory Infection,63,38,417,Adequate
Kangemi Health Centre,2024-04-28,Diarrhea,149,22,680,Adequate
Kangemi Health Centre,2024-04-28,Skin Infection,362,10,188,Adequate
Kangemi Health Centre,2024-04-28,Pneumonia,76,33,791,Adequate
Kangemi Health Centre,2024-04-29,Malaria,39,37,476,Adequate
Kangemi Health Centre,2024-04-29,Flu,155,35,766,Adequate
Kangemi Health Centre,2024-04-29,Typhoid,277,21,417,Adequate
Kangemi Health Centre,2024-04-29,Respiratory Infection,205,96,785,Adequate
Kangemi Health Centre,2024-04-29,Diarrhea,103,104,242,Adequate
Kangemi Health Centre,2024-04-29,Skin Infection,321,23,723,Adequate
Kangemi Health Centre,2024-04-29,Pneumonia,235,32,468,Adequate
Kangemi Health Centre,2024-04-30,Malaria,139,76,481,Adequate
Kangemi Health Centre,2024-04-30,Flu,115,48,559,Adequate
Kangemi Health Centre,2024-04-30,Typhoid,354,19,588,Adequate
Kangemi Health Centre,2024-04-30,Respiratory Infection,384,80,387,Adequate
Kangemi Health Centre,2024-04-30,Diarrhea,141,111,635,Adequate
Kangemi Health Centre,2024-04-30,Skin Infection,320,92,267,Adequate
Kangemi Health Centre,2024-04-30,Pneumonia,138,73,589,Adequate
Kangemi Health Centre,2024-05-01,Malaria,384,77,644,Adequate
Kangemi Health Centre,2024-05-01,Flu,234,85,793,Adequate
Kangemi Health Centre,2024-05-01,Typhoid,176,52,110,Adequate
Kangemi Health Centre,2024-05-01,Respiratory Infection,99,41,508,Adequate
Kangemi Health Centre,2024-05-01,Diarrhea,391,12,102,Adequate
Kangemi Health Centre,2024-05-01,Skin Infection,113,37,762,Adequate
Kangemi Health Centre,2024-05-01,Pneumonia,205,96,571,Adequate
Kangemi Health Centre,2024-05-02,Malaria,136,49,233,Adequate
Kangemi Health Centre,2024-05-02,Flu,305,40,479,Adequate
Kangemi Health Centre,2024-05-02,Typhoid,184,30,335,Adequate
Kangemi Health Centre,2024-05-02,Respiratory Infection,269,143,112,Low
Kangemi Health Centre,2024-05-02,Diarrhea,371,44,658,Adequate
Kangemi Health Centre,2024-05-02,Skin Infection,243,37,504,Adequate
Kangemi Health Centre,2024-05-02,Pneumonia,175,60,736,Adequate
Kangemi Health Centre,2024-05-03,Malaria,139,46,625,Adequate
Kangemi Health Centre,2024-05-03,Flu,376,133,735,Adequate
Kangemi Health Centre,2024-05-03,Typhoid,308,104,210,Adequate
Kangemi Health Centre,2024-05-03,Respiratory Infection,153,58,530,Adequate
Kangemi Health Centre,2024-05-03,Diarrhea,59,99,311,Adequate
Kangemi Health Centre,2024-05-03,Skin Infection,67,92,638,Adequate
Kangemi Health Centre,2024-05-03,Pneumonia,246,133,585,Adequate
Kangemi Health Centre,2024-05-04,Malaria,244,102,114,Adequate
Kangemi Health Centre,2024-05-04,Flu,288,39,562,Adequate
Kangemi Health Centre,2024-05-04,Typhoid,149,89,227,Adequate
Kangemi Health Centre,2024-05-04,Respiratory Infection,240,40,787,Adequate
Kangemi Health Centre,2024-05-04,Diarrhea,162,78,419,Adequate
Kangemi Health Centre,2024-05-04,Skin Infection,43,59,683,Adequate
Kangemi Health Centre,2024-05-04,Pneumonia,98,36,482,Adequate
Kangemi Health Centre,2024-05-05,Malaria,45,64,667,Adequate
Kangemi Health Centre,2024-05-05,Flu,134,33,659,Adequate
Kangemi Health Centre,2024-05-05,Typhoid,277,26,722,Adequate
Kangemi Health Centre,2024-05-05,Respiratory Infection,355,109,448,Adequate
Kangemi Health Centre,2024-05-05,Diarrhea,67,110,417,Adequate
Kangemi Health Centre,2024-05-05,Skin Infection,150,57,109,Adequate
Kangemi Health Centre,2024-05-05,Pneumonia,262,65,512,Adequate
Kangemi Health Centre,2024-05-06,Malaria,33,53,667,Adequate
Kangemi Health Centre,2024-05-06,Flu,71,129,213,Adequate
Kangemi Health Centre,2024-05-06,Typhoid,266,22,273,Adequate
Kangemi Health Centre,2024-05-06,Respiratory Infection,284,111,376,Adequate
Kangemi Health Centre,2024-05-06,Diarrhea,364,66,168,Adequate
Kangemi Health Centre,2024-05-06,Skin Infection,355,111,166,Adequate
Kangemi Health Centre,2024-05-06,Pneumonia,333,105,583,Adequate
Kangemi Health Centre,2024-05-07,Malaria,65,42,258,Adequate
Kangemi Health Centre,2024-05-07,Flu,178,56,683,Adequate
Kangemi Health Centre,2024-05-07,Typhoid,277,110,195,Adequate
Kangemi Health Centre,2024-05-07,Respiratory Infection,311,95,495,Adequate
Kangemi Health Centre,2024-05-07,Diarrhea,307,26,362,Adequate
Kangemi Health Centre,2024-05-07,Skin Infection,136,77,739,Adequate
Kangemi Health Centre,2024-05-07,Pneumonia,322,67,707,Adequate
Kangemi Health Centre,2024-05-08,Malaria,30,34,279,Adequate
Kangemi Health Centre,2024-05-08,Flu,210,136,436,Adequate
Kangemi Health Centre,2024-05-08,Typhoid,37,68,638,Adequate
Kangemi Health Centre,2024-05-08,Respiratory Infection,337,47,190,Adequate
Kangemi Health Centre,2024-05-08,Diarrhea,371,25,104,Adequate
Kangemi Health Centre,2024-05-08,Skin Infection,111,12,318,Adequate
Kangemi Health Centre,2024-05-08,Pneumonia,147,110,681,Adequate
Kangemi Health Centre,2024-05-09,Malaria,144,16,405,Adequate
Kangemi Health Centre,2024-05-09,Flu,171,67,306,Adequate
Kangemi Health Centre,2024-05-09,Typhoid,140,56,211,Adequate
Kangemi Health Centre,2024-05-09,Respiratory Infection,72,120,384,Adequate
Kangemi Health Centre,2024-05-09,Diarrhea,157,66,320,Adequate
Kangemi Health Centre,2024-05-09,Skin Infection,381,69,216,Adequate
Kangemi Health Centre,2024-05-09,Pneumonia,99,31,169,Adequate
Kangemi Health Centre,2024-05-10,Malaria,139,52,743,Adequate
Kangemi Health Centre,2024-05-10,Flu,85,122,542,Adequate
Kangemi Health Centre,2024-05-10,Typhoid,118,18,603,Adequate
Kangemi Health Centre,2024-05-10,Respiratory Infection,160,119,787,Adequate
Kangemi Health Centre,2024-05-10,Diarrhea,200,100,711,Adequate
Kangemi Health Centre,2024-05-10,Skin Infection,158,66,280,Adequate
Kangemi Health Centre,2024-05-10,Pneumonia,275,45,150,Adequate
Kangemi Health Centre,2024-05-11,Malaria,397,84,317,Adequate
Kangemi Health Centre,2024-05-11,Flu,133,84,356,Adequate
Kangemi Health Centre,2024-05-11,Typhoid,375,37,664,Adequate
Kangemi Health Centre,2024-05-11,Respiratory Infection,358,89,798,Adequate
Kangemi Health Centre,2024-05-11,Diarrhea,393,31,124,Adequate
Kangemi Health Centre,2024-05-11,Skin Infection,323,94,763,Adequate
Kangemi Health Centre,2024-05-11,Pneumonia,53,89,566,Adequate
Kangemi Health Centre,2024-05-12,Malaria,396,75,664,Adequate
Kangemi Health Centre,2024-05-12,Flu,135,125,787,Adequate
Kangemi Health Centre,2024-05-12,Typhoid,68,49,141,Adequate
Kangemi Health Centre,2024-05-12,Respiratory Infection,396,133,303,Adequate
Kangemi Health Centre,2024-05-12,Diarrhea,37,88,381,Adequate
Kangemi Health Centre,2024-05-12,Skin Infection,72,60,209,Adequate
Kangemi Health Centre,2024-05-12,Pneumonia,239,138,148,Adequate
Kangemi Health Centre,2024-05-13,Malaria,144,36,748,Adequate
Kangemi Health Centre,2024-05-13,Flu,196,94,170,Adequate
Kangemi Health Centre,2024-05-13,Typhoid,36,81,435,Adequate
Kangemi Health Centre,2024-05-13,Respiratory Infection,96,138,749,Adequate
Kangemi Health Centre,2024-05-13,Diarrhea,271,80,312,Adequate
Kangemi Health Centre,2024-05-13,Skin Infection,210,110,698,Adequate
Kangemi Health Centre,2024-05-13,Pneumonia,214,120,347,Adequate
Kangemi Health Centre,2024-05-14,Malaria,243,112,348,Adequate
Kangemi Health Centre,2024-05-14,Flu,155,56,615,Adequate
Kangemi Health Centre,2024-05-14,Typhoid,117,32,275,Adequate
Kangemi Health Centre,2024-05-14,Respiratory Infection,240,71,702,Adequate
Kangemi Health Centre,2024-05-14,Diarrhea,288,37,180,Adequate
Kangemi Health Centre,2024-05-14,Skin Infection,167,58,569,Adequate
Kangemi Health Centre,2024-05-14,Pneumonia,379,142,408,Adequate
Kangemi Health Centre,2024-05-15,Malaria,372,111,559,Adequate
Kangemi Health Centre,2024-05-15,Flu,374,83,119,Adequate
Kangemi Health Centre,2024-05-15,Typhoid,398,58,746,Adequate
Kangemi Health Centre,2024-05-15,Respiratory Infection,58,77,576,Adequate
Kangemi Health Centre,2024-05-15,Diarrhea,298,12,115,Adequate
Kangemi Health Centre,2024-05-15,Skin Infection,123,111,745,Adequate
Kangemi Health Centre,2024-05-15,Pneumonia,330,100,232,Adequate
Kangemi Health Centre,2024-05-16,Malaria,341,80,581,Adequate
Kangemi Health Centre,2024-05-16,Flu,61,78,368,Adequate
Kangemi Health Centre,2024-05-16,Typhoid,54,94,415,Adequate
Kangemi Health Centre,2024-05-16,Respiratory Infection,88,114,767,Adequate
Kangemi Health Centre,2024-05-16,Diarrhea,343,29,488,Adequate
Kangemi Health Centre,2024-05-16,Skin Infection,239,69,526,Adequate
Kangemi Health Centre,2024-05-16,Pneumonia,86,86,665,Adequate
Kangemi Health Centre,2024-05-17,Malaria,238,54,441,Adequate
Kangemi Health Centre,2024-05-17,Flu,322,113,403,Adequate
Kangemi Health Centre,2024-05-17,Typhoid,281,63,211,Adequate
Kangemi Health Centre,2024-05-17,Respiratory Infection,395,35,378,Adequate
Kangemi Health Centre,2024-05-17,Diarrhea,369,22,402,Adequate
Kangemi Health Centre,2024-05-17,Skin Infection,73,114,259,Adequate
Kangemi Health Centre,2024-05-17,Pneumonia,183,143,280,Adequate
Kangemi Health Centre,2024-05-18,Malaria,43,61,476,Adequate
Kangemi Health Centre,2024-05-18,Flu,321,37,267,Adequate
Kangemi Health Centre,2024-05-18,Typhoid,243,31,115,Adequate
Kangemi Health Centre,2024-05-18,Respiratory Infection,120,149,352,Adequate
Kangemi Health Centre,2024-05-18,Diarrhea,89,19,508,Adequate
Kangemi Health Centre,2024-05-18,Skin Infection,60,30,692,Adequate
Kangemi Health Centre,2024-05-18,Pneumonia,318,60,597,Adequate
Kangemi Health Centre,2024-05-19,Malaria,263,99,504,Adequate
Kangemi Health Centre,2024-05-19,Flu,65,94,231,Adequate
Kangemi Health Centre,2024-05-19,Typhoid,353,99,231,Adequate
Kangemi Health Centre,2024-05-19,Respiratory Infection,38,59,726,Adequate
Kangemi Health Centre,2024-05-19,Diarrhea,330,13,424,Adequate
Kangemi Health Centre,2024-05-19,Skin Infection,266,32,115,Adequate
Kangemi Health Centre,2024-05-19,Pneumonia,51,130,683,Adequate
Kangemi Health Centre,2024-05-20,Malaria,333,71,602,Adequate
Kangemi Health Centre,2024-05-20,Flu,259,136,488,Adequate
Kangemi Health Centre,2024-05-20,Typhoid,237,16,662,Adequate
Kangemi Health Centre,2024-05-20,Respiratory Infection,94,38,437,Adequate
Kangemi Health Centre,2024-05-20,Diarrhea,330,56,251,Adequate
Kangemi Health Centre,2024-05-20,Skin Infection,295,82,262,Adequate
Kangemi Health Centre,2024-05-20,Pneumonia,372,140,564,Adequate
Kangemi Health Centre,2024-05-21,Malaria,267,80,599,Adequate
Kangemi Health Centre,2024-05-21,Flu,45,82,395,Adequate
Kangemi Health Centre,2024-05-21,Typhoid,385,29,338,Adequate
Kangemi Health Centre,2024-05-21,Respiratory Infection,98,74,105,Adequate
